"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2021","24.07","24.17","24.54","23.29","","2.64%"
"10/11/2021","23.45","23.67","23.97","23.26","","-2.58%"
"10/08/2021","24.07","23.74","24.59","23.72","","-0.78%"
"10/07/2021","24.26","25.01","25.10","24.04","","-8.56%"
"10/06/2021","26.53","26.52","28.16","26.04","","-1.30%"
"10/05/2021","26.88","29.08","29.26","26.35","","-2.29%"
"10/04/2021","27.51","26.67","28.28","26.36","","11.51%"
"09/30/2021","24.67","25.32","25.65","24.00","","-1.28%"
"09/29/2021","24.99","27.37","27.53","24.72","","-2.04%"
"09/28/2021","25.51","26.21","26.51","24.26","","-3.88%"
"09/27/2021","26.54","27.28","27.28","25.56","","-4.36%"
"09/24/2021","27.75","26.59","28.31","25.24","","4.52%"
"09/23/2021","26.55","26.61","27.60","25.18","","-7.49%"
"09/21/2021","28.70","31.81","32.30","28.55","","-3.82%"
"09/20/2021","29.84","26.34","31.27","26.34","","23.61%"
"09/17/2021","24.14","25.19","26.31","24.13","","-4.13%"
"09/16/2021","25.18","23.83","26.08","23.77","","6.47%"
"09/15/2021","23.65","22.85","23.65","22.21","","7.30%"
"09/14/2021","22.04","20.68","22.44","20.63","","4.41%"
"09/13/2021","21.11","21.52","22.00","21.09","","6.99%"
"09/10/2021","19.73","20.88","20.88","19.72","","-9.50%"
"09/09/2021","21.80","20.69","21.82","20.50","","10.60%"
"09/08/2021","19.71","18.85","19.80","18.42","","5.40%"
"09/07/2021","18.70","19.47","19.60","18.61","","-4.25%"
"09/06/2021","19.53","20.88","20.90","19.53","","-3.36%"
"09/03/2021","20.21","20.05","20.89","19.88","","2.28%"
"09/02/2021","19.76","19.92","20.36","19.41","","-3.28%"
"09/01/2021","20.43","22.25","22.53","20.21","","-7.68%"
"08/31/2021","22.13","22.71","24.38","21.93","","-4.78%"
"08/30/2021","23.24","23.68","24.61","23.16","","-2.80%"
"08/27/2021","23.91","23.86","24.30","22.70","","1.49%"
"08/26/2021","23.56","23.38","24.18","22.72","","1.99%"
"08/25/2021","23.10","22.77","24.17","22.34","","0.43%"
"08/24/2021","23.00","23.98","24.35","22.96","","-9.20%"
"08/23/2021","25.33","25.38","25.91","24.32","","-6.88%"
"08/20/2021","27.20","25.18","28.96","24.67","","10.03%"
"08/19/2021","24.72","22.62","25.35","22.04","","11.80%"
"08/18/2021","22.11","21.58","22.75","21.37","","-3.41%"
"08/17/2021","22.89","20.54","23.48","20.25","","10.79%"
"08/16/2021","20.66","20.25","21.59","19.45","","4.40%"
"08/13/2021","19.79","20.82","20.85","19.33","","0.05%"
"08/12/2021","19.78","20.20","20.49","19.13","","-1.00%"
"08/11/2021","19.98","21.52","21.52","19.86","","-4.90%"
"08/10/2021","21.01","21.65","23.07","20.97","","-7.32%"
"08/09/2021","22.67","24.44","24.97","21.70","","-0.53%"
"08/06/2021","22.79","23.59","24.23","22.52","","-0.91%"
"08/05/2021","23.00","22.53","23.49","21.41","","5.46%"
"08/04/2021","21.81","23.17","24.10","21.81","","-8.28%"
"08/03/2021","23.78","23.14","25.40","23.14","","0.98%"
"08/02/2021","23.55","24.52","26.32","23.06","","-6.29%"
"07/30/2021","25.13","26.13","26.91","23.96","","4.93%"
"07/29/2021","23.95","24.30","25.93","22.61","","-15.73%"
"07/28/2021","28.42","29.07","31.98","28.34","","-15.62%"
"07/27/2021","33.68","24.64","36.49","23.56","","34.13%"
"07/26/2021","25.11","23.09","25.38","22.02","","25.68%"
"07/23/2021","19.98","18.26","20.07","18.22","","8.12%"
"07/22/2021","18.48","18.86","18.86","17.96","","-6.81%"
"07/21/2021","19.83","18.88","20.67","18.88","","-0.60%"
"07/20/2021","19.95","19.49","20.51","18.88","","4.40%"
"07/19/2021","19.11","18.49","19.51","18.32","","15.61%"
"07/16/2021","16.53","17.17","17.23","16.45","","-2.42%"
"07/15/2021","16.94","17.19","17.27","16.51","","-1.51%"
"07/14/2021","17.20","17.01","17.53","17.01","","0.17%"
"07/13/2021","17.17","17.22","17.52","16.81","","-5.97%"
"07/12/2021","18.26","18.05","18.96","17.88","","-5.63%"
"07/09/2021","19.35","20.24","22.23","18.89","","-8.81%"
"07/08/2021","21.22","18.10","21.27","18.10","","18.02%"
"07/07/2021","17.98","18.13","18.54","17.68","","3.33%"
"07/06/2021","17.40","17.92","18.28","17.28","","-2.19%"
"07/05/2021","17.79","18.13","18.20","17.29","","2.30%"
"07/02/2021","17.39","16.48","17.61","16.48","","8.21%"
